order_id,creation_time,product_ids
1,24/08/22 01:52,"[65, 28]"
2,24/08/22 06:37,"[35, 30, 42, 34]"
3,24/08/22 07:35,"[24, 70, 77]"
4,24/08/22 10:39,"[72, 40, 20]"
5,24/08/22 12:34,[48]
6,24/08/22 13:46,"[76, 52, 65, 75, 77]"
7,24/08/22 13:59,"[35, 74, 15, 34, 80]"
8,24/08/22 14:03,[41]
9,24/08/22 14:45,"[40, 27, 24, 39, 62, 15]"
10,24/08/22 15:09,"[3, 78]"
11,24/08/22 15:54,"[84, 14, 57]"
12,24/08/22 16:22,"[54, 83, 11, 28]"
13,24/08/22 16:39,"[1, 63, 78, 70, 50, 50]"
14,24/08/22 17:16,"[65, 1, 26, 43, 6]"
15,24/08/22 17:17,[79]
16,24/08/22 17:31,"[71, 83, 46]"
17,24/08/22 17:32,"[73, 8, 70, 74]"
18,24/08/22 17:38,"[16, 25, 74]"
19,24/08/22 17:42,"[40, 31, 38, 28]"
20,24/08/22 17:48,"[33, 20]"
21,24/08/22 17:57,"[30, 65, 71, 35]"
22,24/08/22 18:05,[46]
23,24/08/22 18:13,"[31, 74]"
24,24/08/22 18:20,"[5, 74]"
25,24/08/22 18:38,"[77, 8, 20]"
26,24/08/22 18:42,"[19, 37, 72, 9]"
27,24/08/22 18:46,"[63, 12, 33]"
28,24/08/22 18:50,"[45, 60, 20, 24, 77]"
29,24/08/22 18:55,"[39, 79, 23]"
30,24/08/22 18:57,"[9, 32, 42, 8]"
31,24/08/22 18:58,"[77, 67, 25, 23]"
32,24/08/22 18:59,"[23, 35, 56]"
33,24/08/22 19:02,"[76, 53, 56]"
34,24/08/22 19:04,"[1, 50, 70, 47, 71, 52]"
35,24/08/22 19:05,"[17, 58, 27, 50]"
36,24/08/22 19:12,"[70, 18, 39, 58, 33, 50]"
37,24/08/22 19:15,"[32, 75, 49, 42]"
38,24/08/22 19:17,"[25, 84, 27, 81, 34]"
39,24/08/22 19:17,"[87, 67, 82]"
40,24/08/22 19:19,"[28, 35, 10]"
41,24/08/22 19:25,"[67, 30, 63]"
42,24/08/22 19:25,"[8, 2, 87, 42, 17, 20, 71]"
43,24/08/22 19:29,"[31, 49]"
44,24/08/22 19:35,"[56, 83, 5, 40, 5, 57]"
45,24/08/22 19:35,"[81, 29, 6]"
46,24/08/22 19:37,"[55, 77, 40]"
47,24/08/22 19:44,"[52, 86, 66]"
48,24/08/22 19:50,"[43, 84, 46]"
49,24/08/22 19:56,"[22, 47, 54]"
