user_id,birth_date,sex
10597,24/05/91,male
4521,21/07/94,female
5778,9/1/1992,male
8636,5/5/1997,female
15773,16/08/90,male
2181,20/11/96,female
837,2/9/1992,female
632,6/1/1993,male
11407,23/11/94,female
4744,28/10/84,male
8201,28/04/94,male
21402,24/05/91,female
4057,8/9/1989,female
3389,6/1/1996,female
16146,4/1/1989,male
16746,8/1/1993,female
15544,30/11/89,female
19076,10/3/1995,male
3455,4/7/1995,female
5867,17/05/89,male
10352,25/04/91,female
6275,22/04/92,male
6267,7/12/1990,male
4403,30/03/91,male
185,6/11/1995,male
17719,30/09/98,female
5055,16/04/97,male
9950,1/8/1997,female
16056,5/10/1998,male
13158,17/06/94,female
6488,18/02/94,female
1835,17/10/92,male
10180,6/2/1992,male
15978,27/09/93,female
13913,19/05/93,female
4149,26/06/92,female
15608,2/6/1995,female
12849,22/08/94,female
18312,3/8/1992,male
3832,17/07/94,male
14907,2/4/1994,male
10137,22/12/92,female
3176,11/1/1989,male
16734,25/10/91,female
15366,11/8/1993,male
17760,16/04/94,male
21340,31/12/92,male
10542,20/07/86,male
15102,21/04/01,male
4231,22/03/91,male
9957,19/01/92,male
591,24/04/90,female
14396,31/10/95,female
5833,24/11/86,male
4706,12/12/1989,male
1803,29/10/92,male
15028,1/4/1992,male
8890,25/08/94,female
5209,19/07/92,male
6174,29/01/93,male
9217,7/2/1990,female
13885,16/09/91,female
21208,30/11/92,male
625,31/10/90,male
12848,1/3/1991,female
12006,29/01/92,male
6552,14/11/96,female
3673,13/11/89,male
14117,18/11/95,female
18904,14/06/95,female
14283,22/12/92,female
17031,14/04/91,male
19377,31/10/88,male
17020,22/04/97,female
5818,28/08/88,male
1826,16/03/88,female
3651,13/12/93,male
20784,28/03/93,female
5026,2/4/1994,male
5317,4/5/1994,female
12562,9/5/1996,female
1824,24/04/97,female
12379,26/03/93,female
17385,25/12/91,male
18406,6/9/1987,female
6493,6/6/1995,female
17200,31/05/98,female
14374,14/04/92,male
9032,18/12/93,male
21000,17/09/91,male
13337,10/10/1993,female
2243,19/02/96,male
8942,28/07/94,female
14079,28/06/90,female
13943,10/12/1991,female
12217,5/5/1995,male
14866,20/04/90,female
14768,24/08/96,female
15632,26/02/94,male
9021,23/02/92,female
7760,4/6/1996,male
11212,16/12/95,female
7034,23/08/92,female
1556,27/11/92,female
12806,16/05/93,male
19262,27/03/94,male
12526,15/09/95,female
7080,30/10/94,female
5351,11/5/1984,male
11752,27/05/94,male
13932,25/07/88,male
19112,18/04/94,male
4449,12/12/1988,female
2015,24/04/89,male
18987,15/06/91,male
8614,11/6/1994,female
9634,16/06/96,female
20897,16/01/90,male
16985,15/03/96,female
8755,5/3/1996,male
20680,8/7/1988,male
6787,7/9/1988,male
10139,1/8/1992,female
6640,12/5/1993,male
8115,4/7/1994,male
19085,22/09/91,female
6601,5/1/1994,male
686,30/10/96,female
10928,11/10/1994,male
3875,2/1/1992,female
3421,14/01/97,female
18092,15/05/95,male
17500,8/5/1992,male
8267,23/01/88,male
15364,14/03/92,male
16670,6/8/1992,male
20039,24/05/87,male
19663,6/8/1995,female
1245,10/9/1994,male
17203,19/05/90,male
7241,27/09/89,female
5807,8/6/1991,female
14136,10/11/1999,female
8889,30/08/90,male
